freq_hz,amplitude
0,0.00511932
0.25,0.0075072
0.5,0.00311784
0.75,0.00749732
1,0.00403061
1.25,0.00463757
1.5,0.00683891
1.75,0.00456066
2,0.00532494
2.25,0.00248309
2.5,0.00643504
2.75,0.00526261
3,0.00412806
3.25,0.00662511
3.5,0.00398359
3.75,0.00480182
4,0.00306276
4.25,0.00452753
4.5,0.00344063
4.75,0.00376104
5,0.0064179
5.25,0.00385955
5.5,0.00497435
5.75,0.007672
6,0.00756814
6.25,0.00627868
6.5,0.00527939
6.75,0.0038404
7,0.00320762
7.25,0.00761315
7.5,0.00514244
7.75,0.00296381
8,0.00572722
8.25,0.00656117
8.5,0.00567013
8.75,0.00732665
9,0.0025486
9.25,0.0052106
9.5,0.0048336
9.75,0.00267248
10,0.00582433
10.25,0.00697463
10.5,0.00556092
10.75,0.00374898
11,0.00690521
11.25,0.00510666
11.5,0.00511424
11.75,0.00643241
12,0.00313832
12.25,0.00679495
12.5,0.00605274
12.75,0.00661786
13,0.00337618
13.25,0.00670098
13.5,0.00337459
13.75,0.00277702
14,0.00698875
14.25,0.00702172
14.5,0.00710476
14.75,0.00490205
15,0.00382493
15.25,0.00237167
15.5,0.00584824
15.75,0.00625211
16,0.00688174
16.25,0.00386755
16.5,0.00350467
16.75,0.00581346
17,0.00671562
17.25,0.0075791
17.5,0.00315249
17.75,0.00495813
18,0.00720372
18.25,0.00463425
18.5,0.0055422
18.75,0.00246638
19,0.00599925
19.25,0.0073364
19.5,0.00683414
19.75,0.00715366
20,0.00592791
20.25,0.0036698
20.5,0.00651672
20.75,0.00348538
21,0.00685836
21.25,0.00267448
21.5,0.00682686
21.75,0.00322861
22,0.00437529
22.25,0.00405732
22.5,0.00609657
22.75,0.00330517
23,0.0044902
23.25,0.00236477
23.5,0.00376203
23.75,0.00462593
24,0.00290967
24.25,0.00577986
24.5,0.00440402
24.75,0.00628142
25,0.00589258
25.25,0.00468058
25.5,0.00705459
25.75,0.00577428
26,0.00674404
26.25,0.00419372
26.5,0.00529269
26.75,0.00340166
27,0.00775586
27.25,0.00365708
27.5,0.0037314
27.75,0.00273149
28,0.00373649
28.25,0.00648738
28.5,0.00613226
28.75,0.00303353
29,0.00438123
29.25,0.00462448
29.5,0.00595311
29.75,0.0136095
30,0.0388843
30.25,0.0136095
30.5,0.00628784
30.75,0.00432009
31,0.00477404
31.25,0.00433475
31.5,0.00293043
31.75,0.00343947
32,0.00387805
32.25,0.00404314
32.5,0.00403723
32.75,0.0054725
33,0.00762275
33.25,0.00655018
33.5,0.00663984
33.75,0.00646637
34,0.00558295
34.25,0.0073288
34.5,0.00608727
34.75,0.0050569
35,0.00275269
35.25,0.00499208
35.5,0.00349167
35.75,0.00305543
36,0.00508798
36.25,0.00660691
36.5,0.00393902
36.75,0.00651811
37,0.00519449
37.25,0.00314445
37.5,0.00758616
37.75,0.00451949
38,0.00394026
38.25,0.00694396
38.5,0.0030106
38.75,0.00632659
39,0.00335554
39.25,0.00446971
39.5,0.00359548
39.75,0.00691254
40,0.00445655
40.25,0.0076391
40.5,0.00573686
40.75,0.0151649
41,0.0353847
41.25,0.101099
41.5,0.0353847
41.75,0.0151649
42,0.00342837
42.25,0.00771273
42.5,0.00646113
42.75,0.00429167
43,0.00582534
43.25,0.00440705
43.5,0.00440983
43.75,0.00507567
44,0.0024241
44.25,0.00501997
44.5,0.00762225
44.75,0.00388708
45,0.00640621
45.25,0.00474352
45.5,0.00347235
45.75,0.00725972
46,0.00242466
46.25,0.0039853
46.5,0.00777156
