freq_hz,amplitude
0,0.00924206
0.25,0.00419073
0.5,0.0107358
0.75,0.00675265
1,0.00826466
1.25,0.0046241
1.5,0.00897398
1.75,0.00922551
2,0.00725112
2.25,0.00784029
2.5,0.00839946
2.75,0.00911167
3,0.00725819
3.25,0.00486876
3.5,0.00931332
3.75,0.00893013
4,0.00742472
4.25,0.00482799
4.5,0.00452372
4.75,0.00790093
5,0.00514552
5.25,0.00380076
5.5,0.00608016
5.75,0.00699511
6,0.0101207
6.25,0.00714682
6.5,0.00547733
6.75,0.00544929
7,0.00561161
7.25,0.00996184
7.5,0.0111603
7.75,0.00834226
8,0.00766263
8.25,0.00536602
8.5,0.0103391
8.75,0.00823589
9,0.00435343
9.25,0.00835469
9.5,0.00687812
9.75,0.00733061
10,0.00638968
10.25,0.00502748
10.5,0.00931606
10.75,0.011623
11,0.00378273
11.25,0.00856443
11.5,0.0072384
11.75,0.00863341
12,0.00917493
12.25,0.00358792
12.5,0.0104714
12.75,0.00511684
13,0.0102426
13.25,0.0108596
13.5,0.0107953
13.75,0.0091563
14,0.0092701
14.25,0.011701
14.5,0.00375701
14.75,0.0104525
15,0.0086035
15.25,0.0113285
15.5,0.0110434
15.75,0.00426526
16,0.00844043
16.25,0.00716326
16.5,0.00579255
16.75,0.00495105
17,0.00424846
17.25,0.0043821
17.5,0.00740995
17.75,0.00540775
18,0.00505507
18.25,0.00972393
18.5,0.00381323
18.75,0.0112499
19,0.00579567
19.25,0.00363836
19.5,0.00492794
19.75,0.00819392
20,0.00992947
20.25,0.0073536
20.5,0.00944884
20.75,0.011201
21,0.00819894
21.25,0.00918654
21.5,0.00776453
21.75,0.00353243
22,0.0100139
22.25,0.00732058
22.5,0.00451999
22.75,0.0098073
23,0.00426844
23.25,0.00829181
23.5,0.00886649
23.75,0.00786424
24,0.00365147
24.25,0.0111883
24.5,0.00504129
24.75,0.00822821
25,0.0104984
25.25,0.00635476
25.5,0.00725878
25.75,0.00867599
26,0.00914358
26.25,0.00665332
26.5,0.00950465
26.75,0.00651333
27,0.00616463
27.25,0.00872747
27.5,0.00511248
27.75,0.00954527
28,0.00400539
28.25,0.00359433
28.5,0.00484846
28.75,0.00899203
29,0.00786887
29.25,0.00676189
29.5,0.00880269
29.75,0.0205396
30,0.0586846
30.25,0.0205396
30.5,0.00880269
30.75,0.0073365
31,0.00654563
31.25,0.00635519
31.5,0.00729918
31.75,0.00443412
32,0.00524679
32.25,0.00439909
32.5,0.00514161
32.75,0.00776884
33,0.00590251
33.25,0.0115134
33.5,0.00495943
33.75,0.0081533
34,0.0111682
34.25,0.00898924
34.5,0.00527863
34.75,0.0116938
35,0.00476127
35.25,0.00795888
35.5,0.0108663
35.75,0.00780075
36,0.0113953
36.25,0.00996496
36.5,0.00868593
36.75,0.00840458
37,0.0104683
37.25,0.00576629
37.5,0.00587003
37.75,0.00517766
38,0.00980734
38.25,0.00470055
38.5,0.0112534
38.75,0.0102134
39,0.00546551
39.25,0.00713904
39.5,0.00978042
39.75,0.00482532
40,0.00556882
40.25,0.00689174
40.5,0.0105273
40.75,0.00576933
41,0.00954509
41.25,0.00979852
41.5,0.00978175
41.75,0.00388236
42,0.00754717
42.25,0.00613112
42.5,0.0057595
42.75,0.0101989
43,0.00832933
43.25,0.00525731
43.5,0.00941756
43.75,0.00944553
44,0.0112056
44.25,0.0115992
44.5,0.0076259
44.75,0.0109443
45,0.010228
45.25,0.010051
45.5,0.00457553
45.75,0.00766104
46,0.008076
46.25,0.0101366
46.5,0.00628996
46.75,0.00587386
47,0.00524358
47.25,0.00914672
47.5,0.00803222
47.75,0.0101057
48,0.00405012
48.25,0.0113316
48.5,0.00833268
48.75,0.00475229
49,0.0112837
49.25,0.0115233
49.5,0.0092338
49.75,0.00406582
50,0.0100856
50.25,0.01005
50.5,0.00689058
50.75,0.0088064
51,0.00556954
51.25,0.0084224
51.5,0.011387
51.75,0.00848595
52,0.00913552
52.25,0.00454111
52.5,0.00928657
52.75,0.00695846
53,0.00929477
53.25,0.00744716
53.5,0.0104827
53.75,0.0112791
54,0.00741245
54.25,0.010367
54.5,0.0071225
54.75,0.011125
55,0.00539844
55.25,0.00425238
55.5,0.0108314
55.75,0.00727835
56,0.00736887
56.25,0.00865316
56.5,0.00356654
56.75,0.00954389
57,0.0110477
57.25,0.0111204
57.5,0.00992026
57.75,0.00466586
58,0.00505813
58.25,0.0108159
58.5,0.0104768
58.75,0.00464444
59,0.00726405
59.25,0.00605275
59.5,0.00633789
59.75,0.00980654
60,0.00411561
60.25,0.0115288
60.5,0.00711425
60.75,0.00706127
61,0.0089344
61.25,0.0113253
61.5,0.00750017
61.75,0.00946584
62,0.00897324
62.25,0.0109359
62.5,0.0101141
62.75,0.00794118
63,0.00870174
63.25,0.0097773
63.5,0.0115225
63.75,0.00858096
64,0.00396832
64.25,0.00507913
64.5,0.00451005
64.75,0.0107233
65,0.0110572
65.25,0.00571093
65.5,0.00455511
65.75,0.0108893
66,0.00816999
66.25,0.0110735
66.5,0.00823735
66.75,0.00875897
67,0.00894907
67.25,0.0113318
67.5,0.00692376
67.75,0.00793785
68,0.00703242
68.25,0.00660428
68.5,0.00908346
68.75,0.00468532
69,0.00950546
69.25,0.00462167
69.5,0.00827839
69.75,0.00851034
70,0.00768172
70.25,0.00387979
70.5,0.0060349
70.75,0.00473101
71,0.00554882
71.25,0.00527353
71.5,0.0055535
71.75,0.0103516
72,0.00583331
72.25,0.0105208
72.5,0.00450938
72.75,0.0047644
73,0.0093464
73.25,0.00493512
73.5,0.0101382
73.75,0.00405416
74,0.0112075
74.25,0.00624958
74.5,0.00892543
74.75,0.0062883
75,0.0083078
75.25,0.00961293
75.5,0.00451888
75.75,0.00995678
76,0.00749949
76.25,0.00711172
76.5,0.0106578
76.75,0.0111413
77,0.0048976
77.25,0.00947345
77.5,0.011508
77.75,0.00513176
78,0.0110331
78.25,0.0102721
78.5,0.0109497
78.75,0.00891769
79,0.00473882
79.25,0.00686071
79.5,0.00726027
79.75,0.00758641
80,0.00371741
80.25,0.00399819
80.5,0.0111231
80.75,0.00365248
81,0.00488123
81.25,0.010255
81.5,0.0099909
81.75,0.00705166
82,0.00386351
82.25,0.00663716
82.5,0.00834194
82.75,0.00417173
83,0.01012
83.25,0.00858601
83.5,0.00965947
83.75,0.0115341
84,0.0068682
84.25,0.00848617
84.5,0.00999618
84.75,0.00462562
85,0.0109582
85.25,0.00881168
85.5,0.00881602
85.75,0.00617518
86,0.00437533
86.25,0.00634399
86.5,0.00801551
86.75,0.0102729
87,0.00880865
87.25,0.00542922
87.5,0.00492024
87.75,0.00539295
88,0.00817852
88.25,0.00474897
88.5,0.00711928
88.75,0.0102857
89,0.00497429
89.25,0.00702233
89.5,0.00633126
89.75,0.0101974
90,0.00704077
90.25,0.00603317
90.5,0.00483137
90.75,0.00987871
91,0.00761318
91.25,0.00649657
91.5,0.00979495
91.75,0.0111055
92,0.0112568
92.25,0.00400319
92.5,0.0103224
92.75,0.00785061
93,0.00727291
93.25,0.00931924
93.5,0.0098355
93.75,0.00992288
94,0.00779246
94.25,0.00718933
94.5,0.00450409
94.75,0.00806612
95,0.00689569
95.25,0.00974368
95.5,0.00638561
95.75,0.0103841
96,0.0116487
96.25,0.0068965
96.5,0.00719188
96.75,0.00695142
97,0.00461662
97.25,0.0106418
97.5,0.00488911
97.75,0.00712237
98,0.00627412
98.25,0.00948894
98.5,0.00716467
98.75,0.00518274
99,0.00564619
99.25,0.00677523
99.5,0.00642908
99.75,0.00732438
100,0.00394159
100.25,0.0114951
100.5,0.00377734
100.75,0.00831485
101,0.0101812
101.25,0.0082445
101.5,0.00889331
101.75,0.00467375
102,0.0084773
102.25,0.0111739
102.5,0.010749
102.75,0.00730682
103,0.0107855
103.25,0.00364469
103.5,0.010225
103.75,0.00690972
104,0.00998221
104.25,0.0109851
104.5,0.00850061
104.75,0.00918139
105,0.00463792
105.25,0.00987275
105.5,0.00359155
105.75,0.00827531
106,0.00747692
106.25,0.00733154
106.5,0.00627318
106.75,0.633794
107,1.47885
107.25,4.22529
107.5,1.47885
107.75,0.633794
108,0.00689652
108.25,0.00919805
108.5,0.00991433
108.75,0.00622605
109,0.0064072
109.25,0.0116204
109.5,0.00953169
109.75,0.00969565
110,0.00741007
110.25,0.011214
110.5,0.00678566
110.75,0.00703531
111,0.00863882
111.25,0.00773481
111.5,0.00977231
111.75,0.00818885
112,0.00921559
112.25,0.0105849
112.5,0.00908247
112.75,0.00602792
113,0.0093247
113.25,0.00750201
113.5,0.00361699
113.75,0.0107432
114,0.00397585
114.25,0.00997016
114.5,0.00431191
114.75,0.00383678
115,0.00787301
115.25,0.00615226
115.5,0.00932985
115.75,0.00601295
116,0.00417378
116.25,0.00907531
116.5,0.00771723
116.75,0.00642946
117,0.00915798
