freq_hz,amplitude
0,0.01096
0.25,0.00706484
0.5,0.0109238
0.75,0.0103438
1,0.0113613
1.25,0.00506502
1.5,0.010528
1.75,0.00631163
2,0.0115193
2.25,0.00369177
2.5,0.00373548
2.75,0.00606917
3,0.00878362
3.25,0.0082998
3.5,0.0108115
3.75,0.00460737
4,0.00611493
4.25,0.00509395
4.5,0.0104253
4.75,0.00506297
5,0.0115808
5.25,0.00554817
5.5,0.00933227
5.75,0.00428395
6,0.00449466
6.25,0.00705747
6.5,0.00573928
6.75,0.0112387
7,0.0113741
7.25,0.00899497
7.5,0.00813366
7.75,0.0044053
8,0.0086338
8.25,0.00540362
8.5,0.00882394
8.75,0.00722699
9,0.00647694
9.25,0.00521703
9.5,0.00868918
9.75,0.00469637
10,0.00853221
10.25,0.0113777
10.5,0.00760236
10.75,0.00847299
11,0.00833247
11.25,0.00807252
11.5,0.00758755
11.75,0.0107676
12,0.00732751
12.25,0.00864775
12.5,0.00592638
12.75,0.00964373
13,0.00843672
13.25,0.00937353
13.5,0.00699244
13.75,0.0103933
14,0.00497305
14.25,0.00713783
14.5,0.00355811
14.75,0.0108941
15,0.00661752
15.25,0.00877119
15.5,0.00409611
15.75,0.00921248
16,0.0102757
16.25,0.0098519
16.5,0.00357837
16.75,0.00504087
17,0.0097484
17.25,0.00847405
17.5,0.0106022
17.75,0.00450923
18,0.00724453
18.25,0.00790664
18.5,0.00991849
18.75,0.0072581
19,0.00777546
19.25,0.00941732
19.5,0.00921259
19.75,0.00919328
20,0.00891073
20.25,0.00665604
20.5,0.00536232
20.75,0.00457401
21,0.00813691
21.25,0.00757556
21.5,0.00389359
21.75,0.00809856
22,0.00371923
22.25,0.00560795
22.5,0.00945808
22.75,0.00904172
23,0.00546529
23.25,0.0113108
23.5,0.00563005
23.75,0.00369363
24,0.0111547
24.25,0.00509769
24.5,0.0112918
24.75,0.0109036
25,0.0112491
25.25,0.00581994
25.5,0.00488014
25.75,0.00601896
26,0.0102749
26.25,0.00405771
26.5,0.0090482
26.75,0.00407548
27,0.00593553
27.25,0.00568096
27.5,0.00692349
27.75,0.0110042
28,0.00635269
28.25,0.00980681
28.5,0.0111878
28.75,0.00460261
29,0.00924279
29.25,0.0108546
29.5,0.0088324
29.75,0.0206089
30,0.0588826
30.25,0.0206089
30.5,0.00903071
30.75,0.00819348
31,0.0101597
31.25,0.00600792
31.5,0.00498952
31.75,0.0105808
32,0.00589934
32.25,0.0056525
32.5,0.0116077
32.75,0.00402026
33,0.00611961
33.25,0.00742027
33.5,0.0065112
33.75,0.00559349
34,0.00479021
34.25,0.0105583
34.5,0.00932115
34.75,0.00590914
35,0.00873884
35.25,0.0056035
35.5,0.00866589
35.75,0.00477424
36,0.0075557
36.25,0.00842285
36.5,0.00768943
36.75,0.0107522
37,0.00428743
37.25,0.00760432
37.5,0.00373056
37.75,0.00384312
38,0.0073075
38.25,0.00578545
38.5,0.00358509
38.75,0.00993727
39,0.0113666
39.25,0.0113324
39.5,0.00865794
39.75,0.00734205
40,0.00831506
40.25,0.0041432
40.5,0.00472014
40.75,0.00975096
41,0.00950788
41.25,0.00453499
41.5,0.0106243
41.75,0.0101802
42,0.00870467
42.25,0.00969405
42.5,0.00896682
42.75,0.00490885
43,0.0066474
43.25,0.00825294
43.5,0.0066608
43.75,0.00934215
44,0.0049221
44.25,0.0069357
44.5,0.00781786
44.75,0.010492
45,0.00379909
45.25,0.0036514
45.5,0.00523014
45.75,0.00877873
46,0.00681454
46.25,0.00957522
46.5,0.00508063
46.75,0.00820448
47,0.00943577
47.25,0.00381781
47.5,0.00628873
47.75,0.00395501
48,0.0112176
48.25,0.0035956
48.5,0.0105563
48.75,0.00419077
49,0.00575313
49.25,0.0040093
49.5,0.00799538
49.75,0.00859171
50,0.00626617
50.25,0.0070801
50.5,0.00634697
50.75,0.00852173
51,0.00356632
51.25,0.00974091
51.5,0.00417537
51.75,0.00695345
52,0.00598942
52.25,0.011749
52.5,0.00726796
52.75,0.00842452
53,0.0100785
53.25,0.0047319
53.5,0.0101111
53.75,0.00384698
54,0.00363107
54.25,0.00709675
54.5,0.00405795
