freq_hz,amplitude
0,0.00225694
0.15625,0.0029204
0.3125,0.00539786
0.46875,0.00443616
0.625,0.00229416
0.78125,0.00378204
0.9375,0.0039836
1.09375,0.00258213
1.25,0.00510512
1.40625,0.00237994
1.5625,0.00359814
1.71875,0.00414902
1.875,0.00377107
2.03125,0.00445651
2.1875,0.00511943
2.34375,0.00607813
2.5,0.0031284
2.65625,0.00472753
2.8125,0.00493675
2.96875,0.00316579
3.125,0.00188756
3.28125,0.00615359
3.4375,0.00319072
3.59375,0.00325912
3.75,0.00579479
3.90625,0.00444933
4.0625,0.00394963
4.21875,0.00527498
4.375,0.00201421
4.53125,0.00498393
4.6875,0.0035236
4.84375,0.00227978
5,0.00477999
5.15625,0.00596927
5.3125,0.0027904
5.46875,0.00464652
5.625,0.00318968
5.78125,0.00513663
5.9375,0.00505064
6.09375,0.00284098
6.25,0.00552344
6.40625,0.00476749
6.5625,0.00487786
6.71875,0.00548038
6.875,0.00376205
7.03125,0.00521102
7.1875,0.00573672
7.34375,0.00233011
7.5,0.0056107
7.65625,0.00360999
7.8125,0.00398638
7.96875,0.00252329
8.125,0.00494645
8.28125,0.00316253
8.4375,0.0057045
8.59375,0.00308966
8.75,0.00434684
8.90625,0.00363514
9.0625,0.00457112
9.21875,0.00274408
9.375,0.00267231
9.53125,0.00515903
9.6875,0.00518257
9.84375,0.00436952
10,0.00592369
10.15625,0.00278418
10.3125,0.00561567
10.46875,0.00262272
10.625,0.00611364
10.78125,0.00461844
10.9375,0.00454467
11.09375,0.00614086
11.25,0.00533535
11.40625,0.00534801
11.5625,0.00211844
11.71875,0.00350184
11.875,0.00225363
12.03125,0.00273043
12.1875,0.0028197
12.34375,0.00564965
12.5,0.00243736
12.65625,0.00318351
12.8125,0.00404415
12.96875,0.00560935
13.125,0.00611747
13.28125,0.00498911
13.4375,0.00281891
13.59375,0.00427298
13.75,0.00497951
13.90625,0.00210874
14.0625,0.00486507
14.21875,0.00349743
14.375,0.00446925
14.53125,0.00481964
14.6875,0.00481786
14.84375,0.00417672
15,0.00431579
15.15625,0.00275071
15.3125,0.00405443
15.46875,0.00243145
15.625,0.00399105
15.78125,0.00423463
15.9375,0.00527861
16.09375,0.00360884
16.25,0.00196705
16.40625,0.00419735
16.5625,0.0027818
16.71875,0.00513444
16.875,0.00358704
17.03125,0.00355094
17.1875,0.00587267
17.34375,0.00360579
17.5,0.00341215
17.65625,0.0034085
17.8125,0.00399113
17.96875,0.00229049
18.125,0.00428073
18.28125,0.00592522
18.4375,0.00435172
18.59375,0.00514608
18.75,0.00603807
18.90625,0.00557711
19.0625,0.00514651
19.21875,0.00545004
19.375,0.00548066
19.53125,0.00299477
19.6875,0.00399638
19.84375,0.00338522
20,0.00302978
20.15625,0.00438959
20.3125,0.00327624
20.46875,0.00459634
20.625,0.00443728
20.78125,0.00233924
20.9375,0.00382282
21.09375,0.00359212
21.25,0.00498256
21.40625,0.00226784
21.5625,0.00262259
21.71875,0.00413084
21.875,0.00365681
22.03125,0.00480126
22.1875,0.00334195
22.34375,0.00274663
22.5,0.00597094
22.65625,0.0029515
22.8125,0.0025265
22.96875,0.00310949
23.125,0.00337209
23.28125,0.00286907
23.4375,0.00423494
23.59375,0.00599328
23.75,0.00243413
23.90625,0.0037032
24.0625,0.0048136
24.21875,0.00576408
24.375,0.00626921
24.53125,0.00251145
24.6875,0.00423925
24.84375,0.00574866
25,0.00211377
25.15625,0.00446307
25.3125,0.00264433
25.46875,0.00525107
25.625,0.00599634
25.78125,0.0042436
25.9375,0.00192038
26.09375,0.00216302
26.25,0.00370556
26.40625,0.00559989
26.5625,0.00292021
26.71875,0.0048179
26.875,0.00365994
27.03125,0.0030448
27.1875,0.00497043
27.34375,0.00323398
27.5,0.00351323
27.65625,0.00524001
27.8125,0.00405448
27.96875,0.00532168
28.125,0.00414709
28.28125,0.00258315
28.4375,0.00382844
28.59375,0.00571164
28.75,0.00436048
28.90625,0.00611565
29.0625,0.00188606
29.21875,0.00337491
29.375,0.00525642
29.53125,0.00489258
29.6875,0.00470256
29.84375,0.0109726
30,0.0313504
30.15625,0.0109726
30.3125,0.00470256
30.46875,0.00434973
30.625,0.00480579
30.78125,0.00330269
30.9375,0.00481921
31.09375,0.00458033
31.25,0.00533043
31.40625,0.00398876
31.5625,0.00199957
31.71875,0.0042376
31.875,0.00564546
32.03125,0.0046901
32.1875,0.00470526
32.34375,0.00359692
32.5,0.00344603
32.65625,0.00503634
32.8125,0.00222239
32.96875,0.00568387
33.125,0.00572711
33.28125,0.00610524
33.4375,0.00247652
33.59375,0.00238742
33.75,0.00580493
33.90625,0.00364158
34.0625,0.00306765
34.21875,0.00355858
34.375,0.00477562
34.53125,0.00258983
34.6875,0.00401921
34.84375,0.00477802
35,0.00504453
35.15625,0.00193484
35.3125,0.00544009
35.46875,0.00378666
35.625,0.00379377
35.78125,0.00434925
35.9375,0.00311055
36.09375,0.00577289
36.25,0.0028121
36.40625,0.00426304
36.5625,0.00261857
36.71875,0.00458519
36.875,0.00583954
37.03125,0.00575496
37.1875,0.00247214
37.34375,0.00462361
37.5,0.00579848
37.65625,0.00276004
37.8125,0.00370134
37.96875,0.0050111
38.125,0.00512059
38.28125,0.00386127
38.4375,0.00468395
38.59375,0.00481694
38.75,0.0034309
38.90625,0.00474301
39.0625,0.00441536
39.21875,0.00494189
39.375,0.00412666
39.53125,0.00335764
39.6875,0.00378764
39.84375,0.00592975
40,0.00270421
40.15625,0.00253193
40.3125,0.00193436
40.46875,0.00562114
40.625,0.00622025
40.78125,0.00291889
40.9375,0.0122266
41.09375,0.0285288
41.25,0.081511
41.40625,0.0285288
41.5625,0.0122266
41.71875,0.00280143
41.875,0.00573433
42.03125,0.00391733
42.1875,0.00542679
42.34375,0.0054014
42.5,0.00587835
42.65625,0.00407034
42.8125,0.00455661
42.96875,0.00434342
43.125,0.00271627
43.28125,0.00408223
43.4375,0.005948
43.59375,0.00587023
43.75,0.00197541
43.90625,0.00479253
44.0625,0.00331524
44.21875,0.00247767
44.375,0.00249303
44.53125,0.00537015
44.6875,0.00609085
44.84375,0.00416439
45,0.00356431
45.15625,0.00411894
45.3125,0.00552083
45.46875,0.00515852
45.625,0.00216245
45.78125,0.00281383
45.9375,0.00568943
46.09375,0.00404518
46.25,0.00476783
46.40625,0.00529361
46.5625,0.00467508
46.71875,0.00510213
46.875,0.00427588
47.03125,0.00288755
47.1875,0.00270219
47.34375,0.00624172
47.5,0.00192714
47.65625,0.00491347
47.8125,0.00574626
47.96875,0.00289669
48.125,0.00209407
48.28125,0.00363334
48.4375,0.00332923
48.59375,0.00390696
48.75,0.00375697
48.90625,0.00601562
49.0625,0.00240475
49.21875,0.0060244
49.375,0.0020818
49.53125,0.005999
49.6875,0.00334258
49.84375,0.00507224
50,0.0018946
50.15625,0.00384414
50.3125,0.00485576
50.46875,0.00463877
50.625,0.00542022
50.78125,0.00255441
50.9375,0.00364191
51.09375,0.00457454
51.25,0.00200712
51.40625,0.00554878
51.5625,0.00370791
51.71875,0.00296108
51.875,0.00285742
52.03125,0.00473794
52.1875,0.00209099
52.34375,0.00295395
52.5,0.00321493
52.65625,0.00301556
52.8125,0.00508769
52.96875,0.00448126
53.125,0.00584857
53.28125,0.00495765
53.4375,0.00940511
53.59375,0.0219453
53.75,0.0627008
53.90625,0.0219453
54.0625,0.00940511
54.21875,0.0050894
54.375,0.00317973
54.53125,0.00339187
54.6875,0.00540496
54.84375,0.00608784
55,0.00225284
55.15625,0.00219383
55.3125,0.00521323
55.46875,0.00405661
55.625,0.00374642
55.78125,0.00466178
55.9375,0.00521842
56.09375,0.00218759
56.25,0.00610246
56.40625,0.00608603
56.5625,0.00370974
56.71875,0.00394196
56.875,0.00307616
57.03125,0.00445952
57.1875,0.00278143
57.34375,0.00422744
57.5,0.00585019
57.65625,0.00410268
57.8125,0.00551116
57.96875,0.00266751
58.125,0.00575883
58.28125,0.00242172
58.4375,0.00281528
58.59375,0.00504219
58.75,0.00320647
58.90625,0.00240294
59.0625,0.00226198
59.21875,0.00536285
59.375,0.00196778
59.53125,0.00212832
59.6875,0.00603097
59.84375,0.00531392
60,0.00350688
60.15625,0.00272537
60.3125,0.00568712
60.46875,0.00533804
60.625,0.00481519
60.78125,0.00420891
60.9375,0.00418645
61.09375,0.00617325
61.25,0.00417338
61.40625,0.00224984
61.5625,0.0022093
61.71875,0.00449494
61.875,0.00509679
62.03125,0.00463841
62.1875,0.00514129
62.34375,0.00317227
62.5,0.00350992
62.65625,0.00304561
62.8125,0.00351637
62.96875,0.00305127
63.125,0.0055421
63.28125,0.00252985
63.4375,0.00279346
63.59375,0.00501514
63.75,0.00362752
63.90625,0.00337887
64.0625,0.00615796
64.21875,0.00580396
64.375,0.00284198
64.53125,0.00256284
64.6875,0.00404204
64.84375,0.00440083
65,0.00340283
65.15625,0.00447686
65.3125,0.0048576
65.46875,0.00545645
65.625,0.00294391
65.78125,0.00471245
65.9375,0.00213601
66.09375,0.00216546
66.25,0.00212398
66.40625,0.00239179
66.5625,0.00531219
66.71875,0.00350879
66.875,0.00404404
67.03125,0.00386005
67.1875,0.00278987
67.34375,0.00208194
67.5,0.00267909
67.65625,0.00564811
67.8125,0.00336729
67.96875,0.00372678
68.125,0.00304149
68.28125,0.00513424
68.4375,0.00496374
68.59375,0.00356567
68.75,0.00410357
68.90625,0.00361827
69.0625,0.00439738
69.21875,0.00448632
69.375,0.00441547
69.53125,0.00583811
69.6875,0.00605171
69.84375,0.00210661
70,0.00354776
70.15625,0.00205811
70.3125,0.00352553
70.46875,0.00540572
70.625,0.00486336
70.78125,0.00437108
70.9375,0.00225981
71.09375,0.00544216
71.25,0.00456905
71.40625,0.0032093
71.5625,0.00532789
71.71875,0.00205247
71.875,0.00270417
72.03125,0.00534452
72.1875,0.00208249
72.34375,0.00246103
72.5,0.00408264
72.65625,0.00499778
72.8125,0.00446731
72.96875,0.00204316
73.125,0.00308714
73.28125,0.0049806
73.4375,0.00341013
73.59375,0.00273346
73.75,0.00189101
73.90625,0.00303407
74.0625,0.00596625
74.21875,0.00209846
74.375,0.00430881
74.53125,0.00587364
74.6875,0.00495601
74.84375,0.00311424
75,0.00472769
75.15625,0.00240506
75.3125,0.0040707
75.46875,0.0030363
75.625,0.0057244
75.78125,0.00568182
75.9375,0.00522473
76.09375,0.00352939
76.25,0.00537882
76.40625,0.00618171
76.5625,0.00350253
76.71875,0.00418613
76.875,0.00259397
77.03125,0.00235649
77.1875,0.00504176
77.34375,0.00214559
77.5,0.00452039
77.65625,0.00237968
77.8125,0.00481742
77.96875,0.00518797
78.125,0.00601069
78.28125,0.00359233
78.4375,0.0035905
78.59375,0.00363509
78.75,0.00497886
78.90625,0.00533837
79.0625,0.00238898
79.21875,0.00330644
79.375,0.00212347
79.53125,0.00291201
79.6875,0.00510144
79.84375,0.00599272
80,0.00618376
80.15625,0.00218015
80.3125,0.00364502
80.46875,0.0057102
80.625,0.00409654
80.78125,0.00341498
80.9375,0.00531486
81.09375,0.00567461
81.25,0.00252151
81.40625,0.0041509
81.5625,0.00252716
