freq_hz,amplitude
0,0.0050652
0.15625,0.00347089
0.3125,0.00518775
0.46875,0.00188116
0.625,0.00382551
0.78125,0.00297295
0.9375,0.00454394
1.09375,0.00222715
1.25,0.00480145
1.40625,0.00359133
1.5625,0.00491438
1.71875,0.00334469
1.875,0.0031724
2.03125,0.0044961
2.1875,0.00521696
2.34375,0.00294798
2.5,0.00516076
2.65625,0.00501339
2.8125,0.00223883
2.96875,0.00383103
3.125,0.0041856
3.28125,0.00506427
3.4375,0.00404081
3.59375,0.00207525
3.75,0.00342119
3.90625,0.0034055
4.0625,0.0034299
4.21875,0.00512253
4.375,0.00287491
4.53125,0.00240899
4.6875,0.00351063
4.84375,0.00395038
5,0.00505061
5.15625,0.00373193
5.3125,0.00257171
5.46875,0.00501615
5.625,0.00339851
5.78125,0.00407827
5.9375,0.00334058
6.09375,0.00238392
6.25,0.00414013
6.40625,0.00442846
6.5625,0.0022872
6.71875,0.00328104
6.875,0.00291877
7.03125,0.00221312
7.1875,0.00240006
7.34375,0.00513703
7.5,0.00484794
7.65625,0.00299439
7.8125,0.0043134
7.96875,0.00173763
8.125,0.0049618
8.28125,0.00356633
8.4375,0.00461176
8.59375,0.00260164
8.75,0.00297161
8.90625,0.00286791
9.0625,0.00517371
9.21875,0.00316857
9.375,0.00342793
9.53125,0.00511292
9.6875,0.004918
9.84375,0.00304135
10,0.00271767
10.15625,0.00456294
10.3125,0.00197952
10.46875,0.00303093
10.625,0.00481917
10.78125,0.00497135
10.9375,0.00244483
11.09375,0.00187335
11.25,0.00449159
11.40625,0.00387877
11.5625,0.00245971
11.71875,0.00345083
11.875,0.00184638
12.03125,0.00416795
12.1875,0.00352776
12.34375,0.00418479
12.5,0.00190824
12.65625,0.00396384
12.8125,0.00295023
12.96875,0.00342651
13.125,0.00282153
13.28125,0.00392422
13.4375,0.00368114
13.59375,0.00386155
13.75,0.0018167
13.90625,0.00241406
14.0625,0.00184818
14.21875,0.0029981
14.375,0.00335893
14.53125,0.00199751
14.6875,0.00404794
14.84375,0.00338237
15,0.00343028
15.15625,0.00378899
15.3125,0.005035
15.46875,0.00375723
15.625,0.00192786
15.78125,0.00212353
15.9375,0.00414508
16.09375,0.00277402
16.25,0.0043718
16.40625,0.00346835
16.5625,0.00298477
16.71875,0.00431331
16.875,0.00225836
17.03125,0.00263441
17.1875,0.00266073
17.34375,0.00311635
17.5,0.00493247
17.65625,0.00458322
17.8125,0.00461669
17.96875,0.00391338
18.125,0.00161298
18.28125,0.00263929
18.4375,0.00343571
18.59375,0.00490049
18.75,0.00292602
18.90625,0.00361577
19.0625,0.00471618
19.21875,0.0028434
19.375,0.00434516
19.53125,0.00377998
19.6875,0.00352261
19.84375,0.00390836
20,0.00337314
20.15625,0.00199983
20.3125,0.00489477
20.46875,0.00516371
20.625,0.00465938
20.78125,0.00288914
20.9375,0.00392359
21.09375,0.00442895
21.25,0.00181251
21.40625,0.00449794
21.5625,0.00189615
21.71875,0.00505326
21.875,0.00247432
22.03125,0.00513937
22.1875,0.00243966
22.34375,0.00355973
22.5,0.00465314
22.65625,0.00522948
22.8125,0.00418867
22.96875,0.00466515
23.125,0.00302945
23.28125,0.00435492
23.4375,0.00300307
23.59375,0.00501642
23.75,0.00443907
23.90625,0.00298373
24.0625,0.00447864
24.21875,0.00182826
24.375,0.0049988
24.53125,0.00414225
24.6875,0.00279094
24.84375,0.00397172
25,0.00447885
25.15625,0.00390291
25.3125,0.00485673
25.46875,0.00311649
25.625,0.00276439
25.78125,0.00295252
25.9375,0.00262305
26.09375,0.00335178
26.25,0.0043796
26.40625,0.00481227
26.5625,0.00391929
26.71875,0.00448431
26.875,0.00516496
27.03125,0.00401883
27.1875,0.00189518
27.34375,0.00389285
27.5,0.00165585
27.65625,0.00408516
27.8125,0.00526962
27.96875,0.00338693
28.125,0.00502813
28.28125,0.00165496
28.4375,0.00514675
28.59375,0.00220445
28.75,0.00468287
28.90625,0.00268418
29.0625,0.00303486
29.21875,0.00207219
29.375,0.00172088
29.53125,0.00436037
29.6875,0.0043379
29.84375,0.00923209
30,0.0263774
30.15625,0.00923209
30.3125,0.00489401
30.46875,0.00207818
30.625,0.00375299
30.78125,0.0048685
30.9375,0.00357092
31.09375,0.00406002
31.25,0.00457523
31.40625,0.00419332
31.5625,0.0046289
31.71875,0.00240927
31.875,0.00494398
32.03125,0.00344294
32.1875,0.00496364
32.34375,0.00416266
32.5,0.00429348
32.65625,0.00509444
32.8125,0.00197324
32.96875,0.0047971
33.125,0.00266229
33.28125,0.0046155
33.4375,0.00240963
33.59375,0.00331314
33.75,0.00209678
33.90625,0.00455665
34.0625,0.00266325
34.21875,0.00333026
34.375,0.00452011
34.53125,0.00295402
34.6875,0.00485226
34.84375,0.00346798
35,0.00506606
35.15625,0.00443151
35.3125,0.00525191
35.46875,0.00421423
35.625,0.00273742
35.78125,0.00354028
35.9375,0.00505545
36.09375,0.00499688
36.25,0.00250811
36.40625,0.00252799
36.5625,0.00251571
36.71875,0.00389251
36.875,0.00230073
37.03125,0.00418707
37.1875,0.00276338
37.34375,0.00467658
37.5,0.00249223
37.65625,0.00500407
37.8125,0.00280646
37.96875,0.00171131
38.125,0.00218032
38.28125,0.00459657
38.4375,0.0022115
38.59375,0.00250867
38.75,0.00525838
38.90625,0.00312235
39.0625,0.0039562
39.21875,0.00359434
39.375,0.00331344
39.53125,0.00489661
39.6875,0.00171738
39.84375,0.00298929
40,0.00324933
40.15625,0.00411134
40.3125,0.00427261
40.46875,0.00159469
40.625,0.00194406
40.78125,0.00246429
40.9375,0.0395661
41.09375,0.0923209
41.25,0.263774
41.40625,0.0923209
41.5625,0.0395661
41.71875,0.00313076
41.875,0.00210558
42.03125,0.00488769
42.1875,0.00490049
42.34375,0.00511248
42.5,0.00429211
42.65625,0.00484006
42.8125,0.00367607
42.96875,0.00468225
43.125,0.00278696
43.28125,0.00437904
43.4375,0.00438437
43.59375,0.00386568
43.75,0.00468227
43.90625,0.00407967
44.0625,0.00250272
44.21875,0.00177308
44.375,0.00278591
44.53125,0.00230389
44.6875,0.00492523
44.84375,0.00355142
45,0.0042774
45.15625,0.00499883
45.3125,0.0045023
45.46875,0.0047819
45.625,0.00365303
45.78125,0.00438518
45.9375,0.00511256
46.09375,0.0032062
46.25,0.00417144
46.40625,0.00510175
46.5625,0.002474
46.71875,0.00184875
46.875,0.003358
47.03125,0.00487091
47.1875,0.00351173
47.34375,0.00234432
47.5,0.00522014
47.65625,0.00332325
47.8125,0.00319763
47.96875,0.00185323
48.125,0.00317189
48.28125,0.0051974
48.4375,0.00318426
48.59375,0.00445444
48.75,0.00501043
48.90625,0.00159151
49.0625,0.00413856
49.21875,0.00210916
49.375,0.00346102
49.53125,0.00473401
49.6875,0.00290483
49.84375,0.00424069
50,0.00263839
50.15625,0.00378682
50.3125,0.00428672
50.46875,0.00357772
50.625,0.00278063
50.78125,0.00431435
50.9375,0.0020921
51.09375,0.00280134
51.25,0.00448702
51.40625,0.00343286
51.5625,0.00192971
51.71875,0.0040867
51.875,0.00496297
52.03125,0.00221637
52.1875,0.00497506
52.34375,0.00159905
52.5,0.00510704
52.65625,0.0038324
52.8125,0.0025358
52.96875,0.00219012
53.125,0.00319667
53.28125,0.00317814
53.4375,0.0237397
53.59375,0.0553926
53.75,0.158264
53.90625,0.0553926
54.0625,0.0237397
54.21875,0.00461016
54.375,0.00213989
54.53125,0.00404449
54.6875,0.00190906
54.84375,0.00399435
55,0.00318814
55.15625,0.00343988
55.3125,0.00434555
55.46875,0.00272766
55.625,0.00415189
55.78125,0.00495766
55.9375,0.00430276
56.09375,0.00379617
56.25,0.00413154
56.40625,0.00487845
56.5625,0.00167548
56.71875,0.00525493
56.875,0.00330873
57.03125,0.00488417
57.1875,0.00179617
57.34375,0.00263013
57.5,0.00364252
57.65625,0.00368339
57.8125,0.00505313
57.96875,0.00274864
58.125,0.00246318
58.28125,0.00392527
58.4375,0.00218352
58.59375,0.0049533
58.75,0.00244229
58.90625,0.0015954
59.0625,0.00389626
59.21875,0.00242071
59.375,0.0049597
59.53125,0.00196976
59.6875,0.00343337
59.84375,0.00379926
60,0.00341788
60.15625,0.00180593
60.3125,0.00350045
60.46875,0.0020624
60.625,0.00174494
60.78125,0.00493048
60.9375,0.00254405
61.09375,0.00184352
61.25,0.00162847
61.40625,0.00477398
61.5625,0.00474759
61.71875,0.00433161
61.875,0.00450793
62.03125,0.00260983
62.1875,0.00373497
62.34375,0.00430023
62.5,0.00250445
62.65625,0.00428306
62.8125,0.00452702
62.96875,0.00350905
63.125,0.00396
63.28125,0.00167733
63.4375,0.00297396
63.59375,0.00277169
63.75,0.00290938
63.90625,0.00499826
64.0625,0.0050592
64.21875,0.00180201
64.375,0.00374026
64.53125,0.00231414
64.6875,0.00399056
64.84375,0.00517969
65,0.0021121
65.15625,0.00300861
65.3125,0.0028439
65.46875,0.00420321
65.625,0.00458825
65.78125,0.00174985
65.9375,0.00234772
66.09375,0.00295675
66.25,0.0051302
66.40625,0.00439665
66.5625,0.00389815
66.71875,0.00515176
66.875,0.00304365
67.03125,0.00454185
67.1875,0.00250313
67.34375,0.00254513
67.5,0.00496524
67.65625,0.00460536
67.8125,0.00388865
67.96875,0.00217163
68.125,0.00274333
68.28125,0.00499957
68.4375,0.00326304
68.59375,0.00174408
68.75,0.00244434
68.90625,0.00376009
69.0625,0.0047632
69.21875,0.00326557
69.375,0.0024973
69.53125,0.0045165
69.6875,0.00272957
69.84375,0.00257174
70,0.0037175
70.15625,0.00348947
70.3125,0.00477021
70.46875,0.00325525
