freq_hz,amplitude
0,0.00438444
0.15625,0.00951448
0.3125,0.0050738
0.46875,0.00896938
0.625,0.00524089
0.78125,0.00826141
0.9375,0.0060084
1.09375,0.00507153
1.25,0.010007
1.40625,0.00388506
1.5625,0.00319118
1.71875,0.00406336
1.875,0.00842513
2.03125,0.00516891
2.1875,0.00677823
2.34375,0.00437484
2.5,0.00817191
2.65625,0.00653745
2.8125,0.00498396
2.96875,0.0068985
3.125,0.00493427
3.28125,0.00696761
3.4375,0.00602763
3.59375,0.00727626
3.75,0.00712543
3.90625,0.00838893
4.0625,0.00824242
4.21875,0.00506063
4.375,0.0075039
4.53125,0.00845339
4.6875,0.0095486
4.84375,0.00607733
5,0.00483672
5.15625,0.00647379
5.3125,0.00302713
5.46875,0.00597352
5.625,0.00678285
5.78125,0.00325347
5.9375,0.00468444
6.09375,0.00895956
6.25,0.00707513
6.40625,0.00655305
6.5625,0.00598696
6.71875,0.00803102
6.875,0.00679147
7.03125,0.00580263
7.1875,0.00475164
7.34375,0.00660074
7.5,0.00425588
7.65625,0.00310454
7.8125,0.00824288
7.96875,0.00895485
8.125,0.00929136
8.28125,0.0093426
8.4375,0.00374227
8.59375,0.00505629
8.75,0.00475372
8.90625,0.00941746
9.0625,0.00799419
9.21875,0.00875903
9.375,0.00850644
9.53125,0.00925762
9.6875,0.00999032
9.84375,0.00550586
10,0.00553278
10.15625,0.0070472
10.3125,0.00407424
10.46875,0.00679276
10.625,0.00983313
10.78125,0.0064319
10.9375,0.0037464
11.09375,0.00322346
11.25,0.00359366
11.40625,0.00754107
11.5625,0.00903566
11.71875,0.00421076
11.875,0.00373149
12.03125,0.00714022
12.1875,0.00851597
12.34375,0.00387751
12.5,0.00512494
12.65625,0.00853089
12.8125,0.00961941
12.96875,0.00447983
13.125,0.00506109
13.28125,0.00890289
13.4375,0.00785895
13.59375,0.0079915
13.75,0.0062431
13.90625,0.0082737
14.0625,0.00552437
14.21875,0.00521096
14.375,0.00609445
14.53125,0.00640587
14.6875,0.0048189
14.84375,0.00792671
15,0.00605042
15.15625,0.00535587
15.3125,0.00786579
15.46875,0.00846956
15.625,0.00359743
15.78125,0.00957498
15.9375,0.00410095
16.09375,0.00807717
16.25,0.00724629
16.40625,0.00810912
16.5625,0.0100559
16.71875,0.00485418
16.875,0.00513084
17.03125,0.00459373
17.1875,0.00462514
17.34375,0.00591078
17.5,0.00821896
17.65625,0.009203
17.8125,0.00517151
17.96875,0.0054069
18.125,0.00947529
18.28125,0.00825214
18.4375,0.00775653
18.59375,0.00939245
18.75,0.00931364
18.90625,0.00587557
19.0625,0.00998678
19.21875,0.00786803
19.375,0.00500027
19.53125,0.00575173
19.6875,0.00311334
19.84375,0.00476618
20,0.0064316
20.15625,0.00559644
20.3125,0.00848711
20.46875,0.00364861
20.625,0.00471345
20.78125,0.00330299
20.9375,0.00504726
21.09375,0.00613139
21.25,0.00537117
21.40625,0.00316739
21.5625,0.00426343
21.71875,0.00356107
21.875,0.00870627
22.03125,0.0090616
22.1875,0.00944586
22.34375,0.00305258
22.5,0.00807659
22.65625,0.00700917
22.8125,0.0100577
22.96875,0.00383779
23.125,0.00813628
23.28125,0.00573721
23.4375,0.00831513
23.59375,0.00344207
23.75,0.00743516
23.90625,0.00711647
24.0625,0.0041672
24.21875,0.00399155
24.375,0.00904924
24.53125,0.00513624
24.6875,0.00627767
24.84375,0.00345232
25,0.00697462
25.15625,0.00489807
25.3125,0.00459513
25.46875,0.00833214
25.625,0.0100089
25.78125,0.00795731
25.9375,0.00495733
26.09375,0.00748135
26.25,0.00795929
26.40625,0.00489661
26.5625,0.00654818
26.71875,0.00449233
26.875,0.00999177
27.03125,0.00851529
27.1875,0.00781074
27.34375,0.00418966
27.5,0.00975701
27.65625,0.00449273
27.8125,0.00730005
27.96875,0.0099963
28.125,0.00547561
28.28125,0.00681503
28.4375,0.00399571
28.59375,0.00716528
28.75,0.00836143
28.90625,0.00410803
29.0625,0.00837782
29.21875,0.00691343
29.375,0.00427238
29.53125,0.00457489
29.6875,0.00784998
29.84375,0.0176175
30,0.0503358
30.15625,0.0176175
30.3125,0.00928009
30.46875,0.00590091
30.625,0.00647383
30.78125,0.00601147
30.9375,0.00708605
31.09375,0.00927858
31.25,0.00990596
31.40625,0.00806554
31.5625,0.00830543
31.71875,0.00675322
31.875,0.00347755
32.03125,0.00785074
32.1875,0.00819622
32.34375,0.00903685
32.5,0.00838886
32.65625,0.00632275
32.8125,0.00882953
32.96875,0.00645398
33.125,0.00420881
33.28125,0.00598551
33.4375,0.00659606
33.59375,0.00883662
33.75,0.0066101
33.90625,0.00571734
34.0625,0.00554454
34.21875,0.0061103
34.375,0.00790651
34.53125,0.00752477
34.6875,0.0037267
34.84375,0.00937835
35,0.00668693
35.15625,0.00354061
35.3125,0.00788689
35.46875,0.00870632
35.625,0.00423376
35.78125,0.00674091
35.9375,0.00442857
36.09375,0.00334779
36.25,0.00949012
36.40625,0.00657038
36.5625,0.00670656
36.71875,0.00572112
36.875,0.0072316
37.03125,0.00398008
37.1875,0.00585482
37.34375,0.00306861
37.5,0.00567502
37.65625,0.00608918
37.8125,0.00906106
37.96875,0.00695579
38.125,0.00481307
38.28125,0.00824725
38.4375,0.0091994
38.59375,0.00348509
38.75,0.0076899
38.90625,0.00866532
39.0625,0.00340062
39.21875,0.00302985
39.375,0.00993343
39.53125,0.00452575
39.6875,0.00502961
39.84375,0.00355301
40,0.0064646
40.15625,0.00317238
40.3125,0.00830626
40.46875,0.00634892
40.625,0.00860833
40.78125,0.00885344
40.9375,0.0052168
41.09375,0.0046341
41.25,0.00907271
41.40625,0.00835839
41.5625,0.00377265
41.71875,0.00522218
41.875,0.00681279
42.03125,0.00322934
42.1875,0.00734241
42.34375,0.00552766
42.5,0.00852197
42.65625,0.00833449
42.8125,0.00997271
42.96875,0.00356534
43.125,0.00853233
43.28125,0.00536797
43.4375,0.00411554
43.59375,0.00713176
43.75,0.00593601
43.90625,0.00454932
44.0625,0.00907234
44.21875,0.00577085
44.375,0.00422669
44.53125,0.00381241
44.6875,0.00685201
44.84375,0.00313613
45,0.00722278
45.15625,0.00433274
45.3125,0.00602899
45.46875,0.00877738
45.625,0.00716875
45.78125,0.00460115
45.9375,0.00516048
46.09375,0.00904091
46.25,0.00334705
46.40625,0.00487289
46.5625,0.00651642
46.71875,0.00547111
46.875,0.00386402
47.03125,0.0041902
47.1875,0.00595329
47.34375,0.00535797
47.5,0.00602021
47.65625,0.00425669
47.8125,0.00849955
47.96875,0.00572744
48.125,0.00329485
48.28125,0.00449754
48.4375,0.00629593
48.59375,0.00688618
48.75,0.00683618
48.90625,0.00960439
49.0625,0.0078828
49.21875,0.00861241
49.375,0.00348834
49.53125,0.00404717
49.6875,0.00673473
49.84375,0.00368132
50,0.00456781
50.15625,0.00366522
50.3125,0.00778559
50.46875,0.00487306
50.625,0.0066302
50.78125,0.00941842
50.9375,0.0047453
51.09375,0.0042555
51.25,0.00662698
51.40625,0.0034674
51.5625,0.00849789
51.71875,0.00302469
51.875,0.00852292
52.03125,0.0061288
52.1875,0.00675529
52.34375,0.00881477
52.5,0.0755036
52.65625,0.176175
52.8125,0.503358
52.96875,0.176175
53.125,0.0755036
53.28125,0.00373254
53.4375,0.00778132
53.59375,0.00689296
53.75,0.00462025
53.90625,0.00455795
54.0625,0.0084218
54.21875,0.00999193
54.375,0.00721451
54.53125,0.00674626
54.6875,0.0100039
54.84375,0.00565826
55,0.00536925
55.15625,0.0046174
55.3125,0.00903624
55.46875,0.0040476
55.625,0.00345357
55.78125,0.00486871
55.9375,0.00491152
56.09375,0.00807043
56.25,0.0034097
56.40625,0.00687654
56.5625,0.00633072
56.71875,0.00344858
56.875,0.00727397
57.03125,0.00993015
57.1875,0.00509335
57.34375,0.00659202
57.5,0.00405151
57.65625,0.00903871
57.8125,0.00521266
57.96875,0.00726813
58.125,0.00523033
58.28125,0.00904453
58.4375,0.00573967
58.59375,0.00496779
58.75,0.00755264
58.90625,0.00386361
59.0625,0.00815408
59.21875,0.00449557
59.375,0.00516609
59.53125,0.0030529
59.6875,0.00541702
59.84375,0.00630763
60,0.0083054
60.15625,0.00518446
60.3125,0.00752167
60.46875,0.00573763
60.625,0.00927604
60.78125,0.00733607
60.9375,0.00538896
61.09375,0.00662764
61.25,0.00589384
61.40625,0.00310757
61.5625,0.00779159
61.71875,0.00841532
61.875,0.00596636
62.03125,0.00939465
62.1875,0.0034388
62.34375,0.00739732
62.5,0.00574107
62.65625,0.00557494
62.8125,0.00794826
62.96875,0.0100589
63.125,0.00386931
63.28125,0.00367481
63.4375,0.00417
63.59375,0.00969313
63.75,0.0046022
63.90625,0.00538407
64.0625,0.00470242
64.21875,0.00934852
64.375,0.00791815
64.53125,0.00977699
64.6875,0.00975228
64.84375,0.00492052
65,0.00907114
65.15625,0.00635717
65.3125,0.00606756
65.46875,0.00557629
65.625,0.00360937
65.78125,0.00424563
65.9375,0.00622792
66.09375,0.00789649
66.25,0.00390513
66.40625,0.00771255
66.5625,0.00552034
66.71875,0.00414405
66.875,0.00605863
67.03125,0.00589873
67.1875,0.00613348
67.34375,0.0061859
67.5,0.00335041
67.65625,0.00992509
67.8125,0.00564685
67.96875,0.0100667
68.125,0.00462146
68.28125,0.00654253
68.4375,0.0099005
68.59375,0.0068111
68.75,0.00545874
68.90625,0.0100391
69.0625,0.00739983
69.21875,0.00319803
69.375,0.00934894
69.53125,0.00807039
69.6875,0.00386086
69.84375,0.00842428
70,0.00706715
70.15625,0.00817176
70.3125,0.00891578
70.46875,0.00887054
70.625,0.0100558
70.78125,0.00554063
70.9375,0.00815129
71.09375,0.00705337
71.25,0.00610541
71.40625,0.00756025
71.5625,0.00500757
71.71875,0.00385563
71.875,0.00564694
72.03125,0.00651451
72.1875,0.00387613
72.34375,0.00558538
72.5,0.0065446
72.65625,0.0056133
72.8125,0.00302372
72.96875,0.00831467
73.125,0.00640095
73.28125,0.00612556
73.4375,0.00502834
73.59375,0.00958769
73.75,0.00539381
73.90625,0.00521935
74.0625,0.00644309
74.21875,0.00512944
74.375,0.00597829
74.53125,0.00356328
74.6875,0.00896045
74.84375,0.00850556
75,0.00614526
75.15625,0.0074391
75.3125,0.00983984
75.46875,0.00964967
75.625,0.00724627
75.78125,0.00576311
75.9375,0.00739255
76.09375,0.00311457
76.25,0.00615574
76.40625,0.00993923
76.5625,0.00495559
76.71875,0.00512506
76.875,0.00552626
77.03125,0.00854361
77.1875,0.00987001
77.34375,0.00926534
77.5,0.00746893
77.65625,0.00622034
77.8125,0.0100296
77.96875,0.00344013
78.125,0.00801887
78.28125,0.00757396
78.4375,0.00553546
78.59375,0.00735565
78.75,0.00653655
78.90625,0.00996745
79.0625,0.00521527
79.21875,0.00742668
79.375,0.00862043
79.53125,0.00608938
79.6875,0.00334148
79.84375,0.00886192
80,0.00613525
80.15625,0.00854993
80.3125,0.00928912
80.46875,0.0072862
80.625,0.00868088
80.78125,0.00668441
80.9375,0.00816644
81.09375,0.0077084
81.25,0.00654559
81.40625,0.00354032
81.5625,0.00732506
81.71875,0.00444748
81.875,0.00986692
82.03125,0.00547987
82.1875,0.0091358
82.34375,0.00569421
82.5,0.00564348
82.65625,0.00386236
82.8125,0.0043596
82.96875,0.0042243
83.125,0.00622995
83.28125,0.00910332
83.4375,0.00762271
83.59375,0.00470437
83.75,0.00405095
83.90625,0.00402104
84.0625,0.0062332
84.21875,0.0094715
84.375,0.00345339
84.53125,0.0050258
84.6875,0.00478641
84.84375,0.00698901
85,0.00720302
85.15625,0.00505038
85.3125,0.00646186
85.46875,0.00609649
85.625,0.0072875
85.78125,0.00680232
85.9375,0.00330696
86.09375,0.00424817
86.25,0.0074172
86.40625,0.0060958
86.5625,0.00781972
86.71875,0.00317182
86.875,0.0051633
87.03125,0.00774698
87.1875,0.00325229
87.34375,0.00598294
87.5,0.00521073
87.65625,0.00912727
87.8125,0.00339905
87.96875,0.00320319
88.125,0.00654608
88.28125,0.00851382
88.4375,0.00554452
88.59375,0.0035726
88.75,0.00443026
88.90625,0.00710712
89.0625,0.00663608
89.21875,0.00346913
89.375,0.00339423
89.53125,0.00506946
89.6875,0.00528361
89.84375,0.00901939
90,0.00344877
90.15625,0.00751578
90.3125,0.00788027
90.46875,0.00953622
90.625,0.00666341
90.78125,0.00636318
90.9375,0.00602264
91.09375,0.00574938
91.25,0.00648591
91.40625,0.00803325
91.5625,0.00408566
91.71875,0.00995939
91.875,0.00894354
92.03125,0.00523115
92.1875,0.00762774
92.34375,0.00907514
92.5,0.00890219
92.65625,0.00963774
92.8125,0.00334137
92.96875,0.00701853
93.125,0.0061258
93.28125,0.00695974
93.4375,0.00315718
93.59375,0.00444859
93.75,0.00445981
93.90625,0.0100097
94.0625,0.00448176
94.21875,0.00800722
94.375,0.00984606
94.53125,0.00592753
94.6875,0.00755535
94.84375,0.00595985
95,0.00660427
95.15625,0.00980948
95.3125,0.00434677
95.46875,0.0100377
95.625,0.00503589
95.78125,0.00645173
95.9375,0.00885709
96.09375,0.00356183
96.25,0.00328998
96.40625,0.00971656
96.5625,0.00684543
96.71875,0.00730154
96.875,0.00884182
97.03125,0.00628151
97.1875,0.00768031
97.34375,0.00496391
97.5,0.00884313
97.65625,0.00344767
97.8125,0.00994723
97.96875,0.00930708
98.125,0.00310689
98.28125,0.00917533
98.4375,0.00496419
98.59375,0.00889831
98.75,0.00764369
98.90625,0.0064747
99.0625,0.00626988
99.21875,0.0089194
99.375,0.00551862
99.53125,0.00405559
99.6875,0.00742559
99.84375,0.00557678
100,0.00557827
100.15625,0.00891725
100.3125,0.00935933
100.46875,0.00612126
100.625,0.00993104
100.78125,0.00466505
100.9375,0.00808075
101.09375,0.0046901
101.25,0.00850582
101.40625,0.00566099
101.5625,0.0030635
101.71875,0.00495698
101.875,0.00950243
102.03125,0.00652619
102.1875,0.00548336
102.34375,0.00762682
102.5,0.00359402
102.65625,0.0030344
102.8125,0.00374496
102.96875,0.0100211
103.125,0.00431547
103.28125,0.00742778
103.4375,0.00500189
103.59375,0.00583361
103.75,0.00507343
103.90625,0.00476213
104.0625,0.00380073
104.21875,0.0062605
104.375,0.00679647
104.53125,0.00725318
104.6875,0.00304652
104.84375,0.00709624
105,0.00873617
105.15625,0.0050098
105.3125,0.00541289
105.46875,0.00943173
105.625,0.00339679
105.78125,0.00684941
105.9375,0.00631292
106.09375,0.00383445
106.25,0.00512594
106.40625,0.00566519
106.5625,0.00777812
106.71875,0.00633479
106.875,0.00537864
107.03125,0.00832751
107.1875,0.00881346
107.34375,0.00953322
107.5,0.00911495
107.65625,0.00468436
107.8125,0.00665381
107.96875,0.00645632
108.125,0.00405971
108.28125,0.00855888
108.4375,0.00343558
108.59375,0.00302672
108.75,0.00670757
108.90625,0.00967372
109.0625,0.00475059
109.21875,0.00773314
109.375,0.003489
109.53125,0.00638149
109.6875,0.00731742
109.84375,0.00449404
110,0.00856347
110.15625,0.00993948
110.3125,0.00358306
110.46875,0.00910389
110.625,0.00496579
110.78125,0.00552312
110.9375,0.00519998
111.09375,0.00860486
111.25,0.00939606
111.40625,0.00978362
111.5625,0.00332878
111.71875,0.00708908
111.875,0.00805997
112.03125,0.00959325
112.1875,0.00549762
112.34375,0.009309
112.5,0.00647869
112.65625,0.00619389
112.8125,0.00978375
112.96875,0.00497448
113.125,0.00430982
113.28125,0.00665805
113.4375,0.00730159
113.59375,0.00475934
113.75,0.00842453
113.90625,0.00764344
114.0625,0.00723033
114.21875,0.00438487
114.375,0.00955172
114.53125,0.00308018
114.6875,0.00960223
114.84375,0.00334721
115,0.00612535
115.15625,0.00781711
115.3125,0.00348057
115.46875,0.00873153
115.625,0.00966858
115.78125,0.0032648
115.9375,0.00551088
116.09375,0.00933105
116.25,0.00955039
116.40625,0.00850231
116.5625,0.00643862
116.71875,0.00676269
116.875,0.00442417
117.03125,0.00464988
117.1875,0.0042932
117.34375,0.00766782
117.5,0.00562905
117.65625,0.00475741
117.8125,0.00960697
117.96875,0.00433736
118.125,0.00689389
118.28125,0.00441386
118.4375,0.0053169
118.59375,0.00660001
118.75,0.00521647
118.90625,0.00838089
119.0625,0.00948156
119.21875,0.0064002
119.375,0.00773834
119.53125,0.00357988
119.6875,0.00387434
119.84375,0.00671611
120,0.00779229
120.15625,0.00993137
120.3125,0.00996866
120.46875,0.00584467
120.625,0.00758167
120.78125,0.00669549
120.9375,0.00393576
121.09375,0.00831058
121.25,0.00839798
121.40625,0.00772539
121.5625,0.00639859
121.71875,0.00779604
121.875,0.0077744
122.03125,0.0065127
122.1875,0.00984874
122.34375,0.00374902
122.5,0.00429579
122.65625,0.00732066
122.8125,0.006056
122.96875,0.0094609
123.125,0.0080849
123.28125,0.00401946
123.4375,0.00731252
123.59375,0.00883497
123.75,0.00836271
123.90625,0.00326136
124.0625,0.00971929
124.21875,0.00946713
124.375,0.00777319
124.53125,0.0083274
124.6875,0.00906358
124.84375,0.00780528
125,0.00641225
125.15625,0.00968264
125.3125,0.00308291
125.46875,0.00489107
125.625,0.00731961
125.78125,0.00904248
125.9375,0.00738017
126.09375,0.00972661
126.25,0.00786447
126.40625,0.00380113
126.5625,0.00813807
126.71875,0.0054826
126.875,0.00759295
127.03125,0.00498656
127.1875,0.00869462
127.34375,0.00381983
127.5,0.00496236
127.65625,0.00545075
127.8125,0.00827229
127.96875,0.00679653
128.125,0.00712956
128.28125,0.00576811
128.4375,0.0038428
128.59375,0.00699505
128.75,0.00877795
128.90625,0.00404233
129.0625,0.00730989
129.21875,0.00532184
129.375,0.00827124
129.53125,0.00798447
129.6875,0.00340414
129.84375,0.00912257
130,0.00610543
130.15625,0.00651628
130.3125,0.00509283
130.46875,0.00378161
130.625,0.0064654
130.78125,0.00337863
130.9375,0.00977203
131.09375,0.00551191
131.25,0.0031283
131.40625,0.00630704
131.5625,0.00369285
131.71875,0.00764675
131.875,0.00472153
132.03125,0.00926261
132.1875,0.00690024
132.34375,0.00789907
132.5,0.00631704
132.65625,0.00852163
132.8125,0.00768445
132.96875,0.0068512
133.125,0.00485184
133.28125,0.00464094
133.4375,0.00695
133.59375,0.00313594
133.75,0.00880499
133.90625,0.00665381
134.0625,0.00753424
134.21875,0.00709683
134.375,0.00729011
134.53125,0.00846982
134.6875,0.00700685
134.84375,0.00937653
135,0.00909639
135.15625,0.0052831
135.3125,0.00508107
135.46875,0.00508244
135.625,0.00775612
135.78125,0.0066947
135.9375,0.00766647
136.09375,0.00319338
136.25,0.00404009
136.40625,0.00448729
136.5625,0.00649655
136.71875,0.00643461
136.875,0.00694418
137.03125,0.0057824
137.1875,0.00527184
137.34375,0.00989558
137.5,0.00379502
137.65625,0.00914896
137.8125,0.00369773
137.96875,0.00968852
138.125,0.00981452
138.28125,0.00304941
138.4375,0.00929734
138.59375,0.00800102
138.75,0.00396426
138.90625,0.00851651
139.0625,0.00971275
139.21875,0.00652295
139.375,0.00628381
139.53125,0.00389849
139.6875,0.00660594
139.84375,0.00804782
140,0.00351876
140.15625,0.00549886
140.3125,0.00363921
140.46875,0.00820435
140.625,0.00442804
140.78125,0.0086865
140.9375,0.00318661
141.09375,0.00332948
141.25,0.00843712
141.40625,0.00378359
141.5625,0.00595996
141.71875,0.00922147
141.875,0.00403128
142.03125,0.00816637
142.1875,0.00947047
142.34375,0.00804626
142.5,0.00306779
142.65625,0.00624628
142.8125,0.00740038
142.96875,0.00424976
143.125,0.00718584
143.28125,0.00833285
143.4375,0.00873978
143.59375,0.0055101
143.75,0.00915791
143.90625,0.00334742
144.0625,0.00683463
144.21875,0.00733718
144.375,0.00675411
144.53125,0.0081872
144.6875,0.0100468
144.84375,0.00563677
145,0.00830737
145.15625,0.00638653
145.3125,0.00480106
145.46875,0.00864031
145.625,0.00524386
145.78125,0.00677009
145.9375,0.00651839
146.09375,0.00718033
146.25,0.00687374
146.40625,0.00433148
146.5625,0.00894661
146.71875,0.00994385
146.875,0.00996237
147.03125,0.00524827
147.1875,0.00958966
147.34375,0.00659328
147.5,0.00307806
147.65625,0.00711564
147.8125,0.00440494
147.96875,0.00996269
148.125,0.0038975
148.28125,0.00735651
148.4375,0.00798
148.59375,0.00688056
148.75,0.00827393
148.90625,0.00698381
149.0625,0.00648468
149.21875,0.00778104
149.375,0.00593758
149.53125,0.00916019
149.6875,0.00573929
149.84375,0.006854
150,0.0100507
150.15625,0.00983089
150.3125,0.00485362
150.46875,0.00805211
150.625,0.00562986
150.78125,0.00436221
150.9375,0.00809031
151.09375,0.00879503
151.25,0.00971876
151.40625,0.00994093
151.5625,0.00764586
151.71875,0.0069213
151.875,0.00935577
152.03125,0.0062083
152.1875,0.0096857
152.34375,0.00394124
152.5,0.00472159
152.65625,0.00992095
152.8125,0.00439762
152.96875,0.00965948
153.125,0.00451565
153.28125,0.00867114
153.4375,0.00676554
153.59375,0.00895839
153.75,0.00325736
153.90625,0.00913173
154.0625,0.00582886
154.21875,0.00567953
154.375,0.006573
154.53125,0.00645521
154.6875,0.00856859
154.84375,0.0080062
155,0.00503775
155.15625,0.00944346
155.3125,0.00582169
155.46875,0.00952687
155.625,0.00710825
155.78125,0.00559222
155.9375,0.0096981
156.09375,0.00849484
156.25,0.00606823
156.40625,0.00972487
156.5625,0.00940845
156.71875,0.00585691
156.875,0.00594263
157.03125,0.00965832
157.1875,0.00665647
157.34375,0.00867742
157.5,0.00917421
157.65625,0.00325877
157.8125,0.00594588
157.96875,0.0039385
158.125,0.00990908
158.28125,0.00586211
158.4375,0.0084536
158.59375,0.00736919
158.75,0.00589286
158.90625,0.00905927
159.0625,0.00563714
