freq_hz,amplitude
0,0.00315676
0.15625,0.00462921
0.3125,0.00192257
0.46875,0.00462312
0.625,0.00248542
0.78125,0.00285969
0.9375,0.00421712
1.09375,0.00281227
1.25,0.00328355
1.40625,0.00153116
1.5625,0.00396808
1.71875,0.00324512
1.875,0.00254551
2.03125,0.00408529
2.1875,0.00245643
2.34375,0.00296097
2.5,0.00188861
2.65625,0.00279184
2.8125,0.00212162
2.96875,0.0023192
3.125,0.00395751
3.28125,0.00237994
3.4375,0.00306736
3.59375,0.00473084
3.75,0.00466679
3.90625,0.00387166
4.0625,0.00325547
4.21875,0.00236813
4.375,0.00197793
4.53125,0.00469454
4.6875,0.00317101
4.84375,0.00182759
5,0.00353161
5.15625,0.00404586
5.3125,0.00349641
5.46875,0.00451788
5.625,0.00157156
5.78125,0.00321304
5.9375,0.00298057
6.09375,0.00164795
6.25,0.00359149
6.40625,0.00430081
6.5625,0.00342906
6.71875,0.00231176
6.875,0.00425801
7.03125,0.00314895
7.1875,0.00315363
7.34375,0.00396646
7.5,0.0019352
7.65625,0.00419001
7.8125,0.00373234
7.96875,0.00408082
8.125,0.00208188
8.28125,0.00413206
8.4375,0.0020809
8.59375,0.00171241
8.75,0.00430952
8.90625,0.00432985
9.0625,0.00438105
9.21875,0.00302278
9.375,0.00235859
9.53125,0.00146246
9.6875,0.00360624
9.84375,0.00385528
10,0.00424353
10.15625,0.00238487
10.3125,0.0021611
10.46875,0.00358479
10.625,0.0041411
10.78125,0.00467355
10.9375,0.00194394
11.09375,0.00305736
11.25,0.00444208
11.40625,0.00285765
11.5625,0.00341752
11.71875,0.00152086
11.875,0.00369935
12.03125,0.00452389
12.1875,0.00421418
12.34375,0.00441121
12.5,0.00365536
12.65625,0.00226293
12.8125,0.00401845
12.96875,0.00214921
13.125,0.00422911
13.28125,0.00164918
13.4375,0.00420969
13.59375,0.00199088
13.75,0.00269796
13.90625,0.00250189
14.0625,0.00375936
14.21875,0.00203809
14.375,0.00276882
14.53125,0.0014582
14.6875,0.0023198
14.84375,0.00285252
15,0.00179421
15.15625,0.00356407
15.3125,0.00271568
15.46875,0.00387335
15.625,0.00363358
15.78125,0.00288621
15.9375,0.00435011
16.09375,0.00356063
16.25,0.00415862
16.40625,0.002586
16.5625,0.00326367
16.71875,0.00209759
16.875,0.00478255
17.03125,0.00225509
17.1875,0.00230091
17.34375,0.00168434
17.5,0.00230406
17.65625,0.00400036
