freq_hz,amplitude
0,0.00406132
0.15625,0.00487463
0.3125,0.00452418
0.46875,0.00507288
0.625,0.00658139
0.78125,0.0102182
0.9375,0.009339
1.09375,0.0063532
1.25,0.00601485
1.40625,0.00798887
1.5625,0.00772689
1.71875,0.00864425
1.875,0.00580975
2.03125,0.00440198
2.1875,0.0098604
2.34375,0.00321651
2.5,0.00322727
2.65625,0.0062066
2.8125,0.00677806
2.96875,0.00361285
3.125,0.00740526
3.28125,0.00503869
3.4375,0.00497879
3.59375,0.00738851
3.75,0.00876417
3.90625,0.00582212
4.0625,0.00868469
4.21875,0.00838989
4.375,0.00333903
4.53125,0.00363939
4.6875,0.00794878
4.84375,0.00323304
5,0.00366614
5.15625,0.00516627
5.3125,0.00560414
5.46875,0.00937247
5.625,0.0088448
5.78125,0.00657418
5.9375,0.00442687
6.09375,0.00346224
6.25,0.00829703
6.40625,0.00554958
6.5625,0.00391097
6.71875,0.00929752
6.875,0.0102829
7.03125,0.00732879
7.1875,0.00334437
7.34375,0.00530012
7.5,0.00548904
7.65625,0.00810337
7.8125,0.00895477
7.96875,0.0039571
8.125,0.00934389
8.28125,0.0060137
8.4375,0.00327798
8.59375,0.00567145
8.75,0.00403839
8.90625,0.00637649
9.0625,0.00505022
9.21875,0.00793131
9.375,0.00689844
9.53125,0.00920825
9.6875,0.00540782
9.84375,0.00640647
10,0.00409632
10.15625,0.00988545
10.3125,0.00758094
10.46875,0.00422728
10.625,0.00819334
10.78125,0.00383057
10.9375,0.00371723
11.09375,0.00411508
11.25,0.00318374
11.40625,0.00541484
11.5625,0.0102741
11.71875,0.00434236
11.875,0.00968112
12.03125,0.00637205
12.1875,0.00970114
12.34375,0.00521427
12.5,0.00950986
12.65625,0.003171
12.8125,0.00493505
12.96875,0.00876672
13.125,0.00370607
13.28125,0.00551221
13.4375,0.00542166
13.59375,0.00539165
13.75,0.00967496
13.90625,0.00724413
14.0625,0.00344149
14.21875,0.00327953
14.375,0.00535989
14.53125,0.0051482
14.6875,0.00882221
14.84375,0.00796792
15,0.00526571
15.15625,0.00364396
15.3125,0.00745621
15.46875,0.00938004
15.625,0.00426825
15.78125,0.00510613
15.9375,0.00618515
16.09375,0.00697658
16.25,0.0103111
16.40625,0.0100619
16.5625,0.00876875
16.71875,0.00788384
16.875,0.00346404
17.03125,0.00873729
17.1875,0.00929026
17.34375,0.00667835
17.5,0.00812357
17.65625,0.0046026
17.8125,0.00345097
17.96875,0.00355796
18.125,0.0100306
18.28125,0.00971939
18.4375,0.00889245
18.59375,0.00422652
18.75,0.00477108
18.90625,0.00478981
19.0625,0.00366253
19.21875,0.00947429
19.375,0.00536419
19.53125,0.00605424
19.6875,0.00777928
19.84375,0.00332954
20,0.00586335
