freq_hz,amplitude
0.0,0.02
0.5,0.02
1.0,0.02
1.5,0.02
2.0,0.02
2.5,0.02
3.0,0.02
3.5,0.02
4.0,0.02
4.5,0.02
5.0,0.0139
5.5,0.0139
6.0,0.0139
6.5,0.0139
7.0,0.0139
7.5,0.0138
8.0,0.0138
8.5,0.0138
9.0,0.0138
9.5,0.0138
10.0,0.0138
10.5,0.0138
11.0,0.0138
11.5,0.0138
12.0,0.0138
12.5,0.0138
13.0,0.0137
13.5,0.0137
14.0,0.0137
14.5,0.0137
15.0,0.0137
15.5,0.0137
16.0,0.0137
16.5,0.0137
17.0,0.0137
17.5,0.0137
18.0,0.0136
18.5,0.0136
19.0,0.0136
19.5,0.0136
20.0,0.0136
20.5,0.0136
21.0,0.0136
21.5,0.0136
22.0,0.0136
22.5,0.0135
23.0,0.0135
23.5,0.0135
24.0,0.0135
24.5,0.0135
25.0,0.0135
25.5,0.0135
26.0,0.0135
26.5,0.0135
27.0,0.0135
27.5,0.0135
28.0,0.0134
28.5,0.0134
29.0,0.0495
29.5,0.154
30.0,0.55
30.5,0.154
31.0,0.0495
31.5,0.0134
32.0,0.0134
32.5,0.0134
33.0,0.0133
33.5,0.0133
34.0,0.0133
34.5,0.0133
35.0,0.0133
35.5,0.0133
36.0,0.0133
36.5,0.0133
37.0,0.0133
37.5,0.0132
38.0,0.0132
38.5,0.0132
39.0,0.0132
39.5,0.0132
40.0,0.0132
40.5,0.0132
41.0,0.0132
41.5,0.0132
42.0,0.0132
42.5,0.0132
43.0,0.0131
43.5,0.0131
44.0,0.0131
44.5,0.0131
45.0,0.0131
45.5,0.0131
46.0,0.0131
46.5,0.0131
47.0,0.0131
47.5,0.0131
48.0,0.013
48.5,0.013
49.0,0.013
49.5,0.013
50.0,0.013
50.5,0.013
51.0,0.013
51.5,0.013
52.0,0.013
52.5,0.0129
53.0,0.0129
53.5,0.0129
54.0,0.0129
54.5,0.0129
55.0,0.0129
55.5,0.0129
56.0,0.0129
56.5,0.0129
57.0,0.0129
57.5,0.0129
58.0,0.0128
58.5,0.0128
59.0,0.0198
59.5,0.0616
60.0,0.22
60.5,0.0616
61.0,0.0198
61.5,0.0128
62.0,0.0128
62.5,0.0128
63.0,0.0127
63.5,0.0127
64.0,0.0127
64.5,0.0127
65.0,0.0127
65.5,0.0127
66.0,0.0127
66.5,0.0127
67.0,0.0127
67.5,0.0126
68.0,0.0126
68.5,0.0126
69.0,0.0126
69.5,0.0126
70.0,0.0126
70.5,0.0126
71.0,0.0126
71.5,0.0126
72.0,0.0126
72.5,0.0126
73.0,0.0125
73.5,0.0125
74.0,0.0125
74.5,0.0125
75.0,0.0125
75.5,0.0125
76.0,0.0405
76.5,0.126
77.0,0.45
77.5,0.126
78.0,0.0405
78.5,0.0124
79.0,0.0124
79.5,0.0124
80.0,0.0124
80.5,0.0124
81.0,0.0124
81.5,0.0124
82.0,0.0124
82.5,0.0123
83.0,0.0123
83.5,0.0123
84.0,0.0123
84.5,0.0123
85.0,0.0123
85.5,0.0123
86.0,0.0123
86.5,0.0123
87.0,0.0123
87.5,0.0123
88.0,0.0122
88.5,0.0122
89.0,0.0122
89.5,0.0252
90.0,0.09
90.5,0.0252
91.0,0.0122
91.5,0.0122
92.0,0.0122
92.5,0.0122
93.0,0.0121
93.5,0.0121
94.0,0.0121
94.5,0.0121
95.0,0.0121
95.5,0.0121
96.0,0.0121
96.5,0.0121
97.0,0.0121
97.5,0.012
98.0,0.012
98.5,0.012
99.0,0.012
99.5,0.012
100.0,0.012
100.5,0.012
101.0,0.012
101.5,0.012
102.0,0.012
102.5,0.012
103.0,0.0119
103.5,0.0119
104.0,0.0119
104.5,0.0119
105.0,0.0119
105.5,0.0119
106.0,0.207
106.5,0.644
107.0,2.3
107.5,0.644
108.0,0.207
108.5,0.0118
109.0,0.0118
109.5,0.0118
110.0,0.0118
110.5,0.0118
111.0,0.0118
111.5,0.0118
112.0,0.0118
112.5,0.0118
113.0,0.0117
113.5,0.0117
114.0,0.0117
114.5,0.0117
115.0,0.0117
115.5,0.0117
116.0,0.0117
116.5,0.0117
117.0,0.0117
117.5,0.0117
118.0,0.0116
118.5,0.0116
119.0,0.0116
119.5,0.0116
120.0,0.0116
120.5,0.0116
121.0,0.0116
121.5,0.0116
122.0,0.0116
122.5,0.0115
123.0,0.0115
123.5,0.0115
124.0,0.0115
124.5,0.0115
125.0,0.0115
125.5,0.0115
126.0,0.0115
126.5,0.0115
127.0,0.0115
127.5,0.0115
128.0,0.0114
128.5,0.0114
129.0,0.0114
129.5,0.0114
130.0,0.0114
130.5,0.0114
131.0,0.0114
131.5,0.0114
132.0,0.0114
132.5,0.0114
133.0,0.0113
133.5,0.0113
134.0,0.0113
134.5,0.0113
135.0,0.0113
135.5,0.0113
136.0,0.0423
136.5,0.1316
137.0,0.47
137.5,0.1316
138.0,0.0423
138.5,0.0112
139.0,0.0112
139.5,0.0112
140.0,0.0112
140.5,0.0112
141.0,0.0112
141.5,0.0112
142.0,0.0112
142.5,0.0112
143.0,0.0111
143.5,0.0111
144.0,0.0111
144.5,0.0111
145.0,0.0111
145.5,0.0111
146.0,0.0111
146.5,0.0111
147.0,0.0111
147.5,0.0111
148.0,0.011
148.5,0.011
149.0,0.011
149.5,0.011
150.0,0.011
150.5,0.011
151.0,0.011
151.5,0.011
152.0,0.011
152.5,0.0109
153.0,0.0109
153.5,0.0109
154.0,0.0109
154.5,0.0109
155.0,0.0109
155.5,0.0109
156.0,0.0109
156.5,0.0109
157.0,0.0109
157.5,0.0109
158.0,0.0108
158.5,0.0108
159.0,0.0108
159.5,0.0108
160.0,0.0108
160.5,0.0108
161.0,0.0108
161.5,0.0108
162.0,0.0108
162.5,0.0107
163.0,0.0107
163.5,0.0107
164.0,0.0107
164.5,0.0107
165.0,0.0107
165.5,0.0107
166.0,0.0107
166.5,0.0107
167.0,0.0107
167.5,0.0106
168.0,0.0106
168.5,0.0106
169.0,0.0106
169.5,0.0106
170.0,0.0106
170.5,0.0106
171.0,0.0106
171.5,0.0106
172.0,0.0106
172.5,0.0106
173.0,0.0105
173.5,0.0105
174.0,0.0105
174.5,0.0105
175.0,0.0105
175.5,0.0105
176.0,0.0105
176.5,0.0105
177.0,0.0105
177.5,0.0105
178.0,0.0104
178.5,0.0104
179.0,0.0104
179.5,0.0104
180.0,0.0104
180.5,0.0104
181.0,0.0104
181.5,0.0104
182.0,0.0104
182.5,0.0103
183.0,0.0252
183.5,0.0784
184.0,0.28
184.5,0.0784
185.0,0.0252
185.5,0.0103
186.0,0.0103
186.5,0.0103
187.0,0.0103
187.5,0.0103
188.0,0.0102
188.5,0.0102
189.0,0.0102
189.5,0.0102
190.0,0.0102
190.5,0.0102
191.0,0.0102
191.5,0.0102
192.0,0.0102
192.5,0.0101
193.0,0.0101
193.5,0.0101
194.0,0.0101
194.5,0.0101
195.0,0.0101
195.5,0.0101
196.0,0.0101
196.5,0.0101
197.0,0.0101
197.5,0.01
198.0,0.01
198.5,0.01
199.0,0.01
199.5,0.01
200.0,0.01
200.5,0.01
201.0,0.01
201.5,0.01
202.0,0.01
202.5,0.01
203.0,0.0099
203.5,0.0099
204.0,0.0099
204.5,0.0099
205.0,0.0099
205.5,0.0099
206.0,0.0099
206.5,0.0099
207.0,0.0099
207.5,0.0099
208.0,0.0098
208.5,0.0098
209.0,0.0098
209.5,0.0098
210.0,0.0098
210.5,0.0098
211.0,0.0098
211.5,0.0098
212.0,0.0098
212.5,0.0097
213.0,0.1125
213.5,0.35
214.0,1.25
214.5,0.35
215.0,0.1125
215.5,0.0097
216.0,0.0097
216.5,0.0097
217.0,0.0097
217.5,0.0096
218.0,0.0096
218.5,0.0096
219.0,0.0096
219.5,0.0096
220.0,0.0096
220.5,0.0096
221.0,0.0096
221.5,0.0096
222.0,0.0096
222.5,0.0095
223.0,0.0095
223.5,0.0095
224.0,0.0095
224.5,0.0095
225.0,0.0095
225.5,0.0095
226.0,0.0095
226.5,0.0095
227.0,0.0095
227.5,0.0095
228.0,0.0094
228.5,0.0094
229.0,0.0094
229.5,0.0094
230.0,0.0094
230.5,0.0094
231.0,0.0094
231.5,0.0094
232.0,0.0094
232.5,0.0094
233.0,0.0093
233.5,0.0093
234.0,0.0093
234.5,0.0093
235.0,0.0093
235.5,0.0093
236.0,0.0093
236.5,0.0093
237.0,0.0093
237.5,0.0092
238.0,0.0092
238.5,0.0092
239.0,0.0092
239.5,0.0092
240.0,0.0092
240.5,0.0092
241.0,0.0092
241.5,0.0092
242.0,0.0092
242.5,0.0092
243.0,0.027
243.5,0.084
244.0,0.3
244.5,0.084
245.0,0.027
245.5,0.0091
246.0,0.0091
246.5,0.0091
247.0,0.0091
247.5,0.009
248.0,0.009
248.5,0.009
249.0,0.009
249.5,0.009
250.0,0.009
250.5,0.009
251.0,0.009
251.5,0.009
252.0,0.009
252.5,0.0089
253.0,0.0089
253.5,0.0089
254.0,0.0089
254.5,0.0089
255.0,0.0089
255.5,0.0089
256.0,0.0089
256.5,0.0089
257.0,0.0089
257.5,0.0089
258.0,0.0088
258.5,0.0088
259.0,0.0088
259.5,0.0088
260.0,0.0088
260.5,0.0088
261.0,0.0088
261.5,0.0088
262.0,0.0088
262.5,0.0088
263.0,0.0087
263.5,0.0087
